ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),Datestartname
NTAP,2012-08-15,16:01:00,15:59:09,1.100000,"Wednesday"
NTAP,2013-02-13,16:01:00,15:53:34,0.557813,"Wednesday"
NTAP,2013-08-14,16:01:00,15:54:47,0.465254,"Wednesday"
NVDA,2012-05-11,07:30:00,07:27:00,NULL,NULL
NVDA,2012-08-09,16:20:00,16:13:58,2.717391,"Thursday"
NVDA,2013-02-13,16:20:00,16:14:34,2.892982,"Wednesday"
NVDA,2013-05-09,16:20:00,16:19:50,3.498182,"Thursday"
ORCL,2012-06-18,16:59:00,16:50:47,4.850000,"Monday"
ORCL,2012-12-18,16:01:00,15:59:47,8.286957,"Tuesday"
ORCL,2013-03-20,16:01:00,15:56:49,7.817333,"Wednesday"
ORCL,2013-09-18,16:01:00,15:53:13,6.964662,"Wednesday"
ORLY,2012-10-24,18:29:00,18:24:54,0.000000,"Wednesday"
PAYX,2012-09-24,16:01:00,15:51:52,0.022222,"Monday"
PAYX,2012-12-19,16:01:00,15:55:42,0.030435,"Wednesday"
PCAR,2012-07-24,07:59:00,07:57:04,0.061538,"Tuesday"
PCAR,2013-01-31,07:59:00,07:55:57,0.042857,"Thursday"
PCAR,2013-07-23,07:59:00,07:51:58,0.132000,"Tuesday"
PCLN,2012-08-07,16:02:00,15:59:37,0.105882,"Tuesday"
PCLN,2013-02-26,16:16:00,16:13:59,0.454545,"Tuesday"
PCLN,2013-05-09,16:09:00,15:58:52,0.215278,"Thursday"
QCOM,2013-01-30,16:00:00,15:59:15,1.028000,"Wednesday"
QCOM,2013-04-24,16:00:00,15:50:50,1.731461,"Wednesday"
QCOM,2013-07-24,16:00:00,15:56:38,1.815455,"Wednesday"
QGEN,2012-07-25,10:39:00,10:35:02,0.000000,"Wednesday"
QGEN,2013-01-29,16:00:00,15:51:21,0.000000,"Tuesday"
QGEN,2013-04-29,07:59:00,07:54:19,0.000000,"Monday"
QGEN,2013-07-30,17:04:00,16:57:10,0.000000,"Tuesday"
ROST,2012-05-17,08:26:00,08:22:52,NULL,NULL
ROST,2012-08-16,08:26:00,08:15:54,0.131034,"Thursday"
ROST,2013-03-21,08:26:00,08:18:54,0.142593,"Thursday"
ROST,2013-08-22,16:00:00,15:55:17,0.056863,"Thursday"
SBUX,2012-07-26,16:03:00,15:55:57,49.934783,"Thursday"
SBUX,2013-01-24,16:04:00,15:58:31,63.753488,"Thursday"
SBUX,2013-04-25,16:04:00,15:57:24,74.405882,"Thursday"
SBUX,2013-07-25,16:04:00,16:03:09,79.084706,"Thursday"
SIAL,2012-07-24,07:59:00,07:57:07,0.007692,"Tuesday"
SIAL,2013-02-07,07:00:00,06:50:29,0.000000,"Thursday"
SIAL,2013-07-23,07:00:00,06:59:12,0.005882,"Tuesday"
SNDK,2013-01-23,16:04:00,15:59:31,1.451020,"Wednesday"
SNDK,2013-04-17,16:04:00,16:02:19,1.208235,"Wednesday"
SNDK,2013-07-17,16:04:00,16:01:38,1.112963,"Wednesday"
SRCL,2012-07-25,16:02:00,15:52:41,0.014286,"Wednesday"
SRCL,2012-10-24,16:02:00,15:56:59,0.087179,"Wednesday"
SRCL,2013-02-06,16:02:00,16:00:53,0.067797,"Wednesday"
