ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
NVDA,2013-05-09,16:20:00,16:19:50,14100000.0000
ORCL,2012-06-18,16:59:00,16:50:47,37600000.0000
ORCL,2012-12-18,16:01:00,15:59:47,37250000.0000
ORCL,2013-03-20,16:01:00,15:56:49,39325000.0000
ORCL,2013-09-18,16:01:00,15:53:13,38225000.0000
ORLY,2012-10-24,18:29:00,18:24:54,NULL
PAYX,2012-09-24,16:01:00,15:51:52,2583143.5000
PAYX,2012-12-19,16:01:00,15:55:42,3904410.0000
PCAR,2012-07-24,07:59:00,07:57:04,370111.7500
PCAR,2013-01-31,07:59:00,07:55:57,241388.0000
PCAR,2013-07-23,07:59:00,07:51:58,86505.2500
PCLN,2012-08-07,16:02:00,15:59:37,2667494.5000
PCLN,2013-02-26,16:16:00,16:13:59,NULL
PCLN,2013-05-09,16:09:00,15:58:52,1045705.0000
QCOM,2013-01-30,16:00:00,15:59:15,18833333.3333
QCOM,2013-04-24,16:00:00,15:50:50,17050000.0000
QCOM,2013-07-24,16:00:00,15:56:38,19900000.0000
QGEN,2012-07-25,10:39:00,10:35:02,2584963.7500
QGEN,2013-01-29,16:00:00,15:51:21,909011.0000
QGEN,2013-04-29,07:59:00,07:54:19,35008.7500
QGEN,2013-07-30,17:04:00,16:57:10,950316.0000
ROST,2012-05-17,08:26:00,08:22:52,560770.2500
ROST,2012-08-16,08:26:00,08:15:54,625744.7500
ROST,2013-03-21,08:26:00,08:18:54,314781.0000
ROST,2013-08-22,16:00:00,15:55:17,2352583.0000
SBUX,2012-07-26,16:03:00,15:55:57,13500000.0000
SBUX,2013-01-24,16:04:00,15:58:31,11300000.0000
SBUX,2013-04-25,16:04:00,15:57:24,8198492.3333
SBUX,2013-07-25,16:04:00,16:03:09,7936685.5000
SIAL,2012-07-24,07:59:00,07:57:07,86445.0000
SIAL,2013-02-07,07:00:00,06:50:29,0.0000
SIAL,2013-07-23,07:00:00,06:59:12,0.0000
SNDK,2013-01-23,16:04:00,15:59:31,7934731.2500
SNDK,2013-04-17,16:04:00,16:02:19,10550000.0000
SNDK,2013-07-17,16:04:00,16:01:38,5596724.7500
SRCL,2012-07-25,16:02:00,15:52:41,385789.6667
SRCL,2012-10-24,16:02:00,15:56:59,1412307.0000
SRCL,2013-02-06,16:02:00,16:00:53,374092.0000
SRCL,2013-04-24,16:02:00,16:01:19,559467.0000
SRCL,2013-07-24,16:02:00,15:56:42,434003.0000
