ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
WYNN,2012-10-24,16:02:00,15:57:04,1.025000
WYNN,2013-01-31,16:01:00,15:59:05,1.425000
WYNN,2013-04-25,16:02:00,15:57:28,0.325000
WYNN,2013-07-29,07:30:00,07:26:19,0.550000
XLNX,2012-10-17,16:20:00,16:15:17,0.500000
XLNX,2013-01-17,16:20:00,16:18:45,1.800000
XLNX,2013-04-24,16:20:00,16:11:47,0.300000
XLNX,2013-07-17,16:20:00,16:12:17,0.475000
YHOO,2013-04-16,16:04:00,15:53:50,140.075000
YHOO,2013-07-16,16:04:00,15:55:57,106.975000
