ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend),timeperiod_endtime
FLEX,2013-04-30,16:01:00,15:56:36,3787533.6102,"2013-05-07 15:56:36"
FLEX,2013-07-25,16:01:00,15:52:25,3584308.2270,"2013-08-01 15:52:25"
FLIR,2012-07-26,07:30:00,07:23:41,2072265.6491,"2012-08-02 07:23:41"
FLIR,2013-02-07,07:30:00,07:21:46,1066371.2200,"2013-02-14 07:21:46"
FLIR,2013-07-25,07:30:00,07:25:42,1475059.8660,"2013-08-01 07:25:42"
FSLR,2013-02-26,16:02:00,15:52:53,7554696.4896,"2013-03-05 15:52:53"
FSLR,2013-05-06,16:04:00,16:00:00,5718293.7570,"2013-05-13 16:00:00"
GMCR,2013-02-06,16:00:00,15:50:16,5566025.3213,"2013-02-13 15:50:16"
GMCR,2013-05-08,16:00:00,15:58:40,7280462.8535,"2013-05-15 15:58:40"
GRMN,2013-02-20,07:00:00,06:57:48,1694954.1538,"2013-02-27 06:57:48"
ILMN,2012-07-24,16:04:00,15:56:03,1112883.9632,"2012-07-31 15:56:03"
ILMN,2013-04-22,16:04:00,16:02:15,1726271.2764,"2013-04-29 16:02:15"
ILMN,2013-07-23,16:04:00,15:56:50,1091440.0372,"2013-07-30 15:56:50"
INTU,2012-05-17,16:00:00,15:57:48,1361568.1303,"2012-05-24 15:57:48"
INTU,2012-08-21,16:00:00,15:58:52,1812557.7747,"2012-08-28 15:58:52"
INTU,2013-02-21,16:00:00,15:53:12,1551136.8631,"2013-02-28 15:53:12"
INTU,2013-08-20,16:03:00,15:56:29,1210396.9565,"2013-08-27 15:56:29"
ISRG,2013-07-18,16:04:00,15:56:39,825906.8263,"2013-07-25 15:56:39"
KLAC,2012-07-26,16:15:00,16:06:26,2298752.5373,"2012-08-02 16:06:26"
KLAC,2013-01-24,16:15:00,16:08:54,1655950.0801,"2013-01-31 16:08:54"
KLAC,2013-04-25,16:15:00,16:07:44,2550883.1800,"2013-05-02 16:07:44"
KLAC,2013-07-25,16:15:00,16:13:28,1341347.2264,"2013-08-01 16:13:28"
LLTC,2012-07-24,16:59:00,16:48:55,2099807.7419,"2012-07-31 16:48:55"
LLTC,2013-04-16,16:59:00,16:56:16,2399420.6128,"2013-04-23 16:56:16"
LRCX,2012-07-25,16:30:00,16:24:09,3922894.8729,"2012-08-01 16:24:09"
LRCX,2012-10-17,16:15:00,16:04:30,2759511.7183,"2012-10-24 16:04:30"
LRCX,2013-01-23,16:04:00,15:59:23,1638046.9795,"2013-01-30 15:59:23"
LRCX,2013-04-24,16:04:00,16:01:10,2388471.4979,"2013-05-01 16:01:10"
MCHP,2013-05-02,16:15:00,16:14:41,1673872.2756,"2013-05-09 16:14:41"
MRVL,2012-05-17,16:04:00,16:03:15,8870258.3657,"2012-05-24 16:03:15"
MRVL,2012-08-16,16:04:00,15:56:34,11442661.5869,"2012-08-23 15:56:34"
MRVL,2013-02-21,16:03:00,15:53:14,9243403.7249,"2013-02-28 15:53:14"
MRVL,2013-08-22,16:03:00,15:55:11,6515346.8784,"2013-08-29 15:55:11"
MXIM,2012-07-26,16:00:00,15:55:48,2790579.1765,"2012-08-02 15:55:48"
MXIM,2013-01-24,16:00:00,15:58:24,1595785.5694,"2013-01-31 15:58:24"
MXIM,2013-04-25,16:00:00,15:57:16,2288509.7581,"2013-05-02 15:57:16"
MXIM,2013-07-25,16:00:00,15:52:31,5192326.5528,"2013-08-01 15:52:31"
NFLX,2012-07-24,16:04:00,15:56:09,8480741.7778,"2012-07-31 15:56:09"
NFLX,2013-01-23,16:04:00,15:59:27,8430851.2082,"2013-01-30 15:59:27"
NFLX,2013-04-22,16:06:00,16:02:20,4176391.7148,"2013-04-29 16:02:20"
NFLX,2013-07-22,16:00:00,15:59:54,3148409.1988,"2013-07-29 15:59:54"
NFLX,2013-07-22,16:00:00,15:59:55,3148409.1988,"2013-07-29 15:59:55"
NIHD,2013-05-02,06:29:00,06:27:45,4078886.5387,"2013-05-09 06:27:45"
NTAP,2012-05-23,16:01:00,15:54:18,19658195.4882,"2012-05-30 15:54:18"
NTAP,2012-08-15,16:01:00,15:59:09,5251863.6600,"2012-08-22 15:59:09"
NTAP,2013-02-13,16:01:00,15:53:34,5020850.1594,"2013-02-20 15:53:34"
NTAP,2013-08-14,16:01:00,15:54:47,3420005.0933,"2013-08-21 15:54:47"
NVDA,2012-05-11,07:30:00,07:27:00,7524085.9221,"2012-05-18 07:27:00"
NVDA,2012-08-09,16:20:00,16:13:58,10781726.3038,"2012-08-16 16:13:58"
NVDA,2013-02-13,16:20:00,16:14:34,10715082.8782,"2013-02-20 16:14:34"
NVDA,2013-05-09,16:20:00,16:19:50,7005070.1567,"2013-05-16 16:19:50"
ORCL,2012-06-18,16:59:00,16:50:47,20772527.2448,"2012-06-25 16:50:47"
ORCL,2012-12-18,16:01:00,15:59:47,30791550.9476,"2012-12-25 15:59:47"
ORCL,2013-03-20,16:01:00,15:56:49,58631699.5984,"2013-03-27 15:56:49"
ORCL,2013-09-18,16:01:00,15:53:13,38550000.0000,"2013-09-25 15:53:13"
ORLY,2012-10-24,18:29:00,18:24:54,1315303.0000,"2012-10-31 18:24:54"
PAYX,2012-09-24,16:01:00,15:51:52,2586318.0625,"2012-10-01 15:51:52"
PAYX,2012-12-19,16:01:00,15:55:42,5718960.1481,"2012-12-26 15:55:42"
PCAR,2012-07-24,07:59:00,07:57:04,2311903.0468,"2012-07-31 07:57:04"
PCAR,2013-01-31,07:59:00,07:55:57,1248154.3910,"2013-02-07 07:55:57"
PCAR,2013-07-23,07:59:00,07:51:58,1104711.5292,"2013-07-30 07:51:58"
PCLN,2012-08-07,16:02:00,15:59:37,1147231.5269,"2012-08-14 15:59:37"
PCLN,2013-02-26,16:16:00,16:13:59,886290.3523,"2013-03-05 16:13:59"
PCLN,2013-05-09,16:09:00,15:58:52,721530.6821,"2013-05-16 15:58:52"
QCOM,2013-01-30,16:00:00,15:59:15,8140858.3322,"2013-02-06 15:59:15"
QCOM,2013-04-24,16:00:00,15:50:50,16469915.6886,"2013-05-01 15:50:50"
QCOM,2013-07-24,16:00:00,15:56:38,10340629.8919,"2013-07-31 15:56:38"
QGEN,2012-07-25,10:39:00,10:35:02,1381972.6887,"2012-08-01 10:35:02"
QGEN,2013-01-29,16:00:00,15:51:21,567311.6923,"2013-02-05 15:51:21"
QGEN,2013-04-29,07:59:00,07:54:19,810152.9395,"2013-05-06 07:54:19"
QGEN,2013-07-30,17:04:00,16:57:10,950316.0000,"2013-08-06 16:57:10"
ROST,2012-05-17,08:26:00,08:22:52,1477132.6739,"2012-05-24 08:22:52"
ROST,2012-08-16,08:26:00,08:15:54,1287859.9639,"2012-08-23 08:15:54"
ROST,2013-03-21,08:26:00,08:18:54,2169745.3824,"2013-03-28 08:18:54"
ROST,2013-08-22,16:00:00,15:55:17,912088.8870,"2013-08-29 15:55:17"
