ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
QGEN,2012-07-25,10:39:00,10:35:02,0.000000
QGEN,2013-01-29,16:00:00,15:51:21,0.000000
QGEN,2013-04-29,07:59:00,07:54:19,0.000000
QGEN,2013-07-30,17:04:00,16:57:10,0.000000
ROST,2012-05-17,08:26:00,08:22:52,0.175000
ROST,2012-08-16,08:26:00,08:15:54,0.283333
ROST,2013-03-21,08:26:00,08:18:54,0.183333
ROST,2013-08-22,16:00:00,15:55:17,0.300000
SBUX,2012-07-26,16:03:00,15:55:57,67.312500
SBUX,2013-01-24,16:04:00,15:58:31,78.200000
SBUX,2013-04-25,16:04:00,15:57:24,82.166667
SBUX,2013-07-25,16:04:00,16:03:09,103.800000
SIAL,2012-07-24,07:59:00,07:57:07,0.000000
SIAL,2013-02-07,07:00:00,06:50:29,0.100000
SIAL,2013-07-23,07:00:00,06:59:12,0.041667
SNDK,2013-01-23,16:04:00,15:59:31,1.783333
SNDK,2013-04-17,16:04:00,16:02:19,1.616667
SNDK,2013-07-17,16:04:00,16:01:38,1.160000
SRCL,2012-07-25,16:02:00,15:52:41,0.600000
SRCL,2012-10-24,16:02:00,15:56:59,0.054545
SRCL,2013-02-06,16:02:00,16:00:53,0.000000
SRCL,2013-04-24,16:02:00,16:01:19,0.060000
SRCL,2013-07-24,16:02:00,15:56:42,0.000000
SYMC,2012-07-25,07:00:00,06:52:31,3.491667
SYMC,2012-10-24,16:05:00,15:56:59,2.108333
SYMC,2013-01-23,07:59:00,07:55:58,3.500000
SYMC,2013-05-07,16:04:00,16:02:32,2.691667
SYMC,2013-07-30,16:01:00,15:54:31,1.075000
URBN,2012-05-21,16:00:00,15:50:18,3.614286
URBN,2012-08-20,16:00:00,15:55:24,20.125000
URBN,2012-11-19,16:00:00,15:57:02,3.083333
URBN,2013-03-11,16:46:00,16:42:15,6.266667
URBN,2013-05-20,16:00:00,15:58:51,2.900000
URBN,2013-08-19,16:01:00,15:58:52,4.466667
VRSN,2012-07-26,16:04:00,15:55:59,0.175000
VRSN,2013-01-24,16:04:00,15:58:33,0.700000
VRSN,2013-04-25,16:04:00,15:57:26,0.600000
VRSN,2013-07-25,16:04:00,16:03:11,0.425000
WYNN,2012-10-24,16:02:00,15:57:04,1.108333
WYNN,2013-01-31,16:01:00,15:59:05,0.800000
WYNN,2013-04-25,16:02:00,15:57:28,0.266667
WYNN,2013-07-29,07:30:00,07:26:19,0.158333
XLNX,2012-10-17,16:20:00,16:15:17,0.925000
XLNX,2013-01-17,16:20:00,16:18:45,NULL
XLNX,2013-04-24,16:20:00,16:11:47,0.075000
XLNX,2013-07-17,16:20:00,16:12:17,0.200000
YHOO,2013-04-16,16:04:00,15:53:50,131.116667
YHOO,2013-07-16,16:04:00,15:55:57,89.216667
