ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),timeperiod_endtime
ISRG,2013-07-18,16:04:00,15:56:39,0.055742,"2013-07-25 15:56:39"
KLAC,2012-07-26,16:15:00,16:06:26,0.000000,"2012-08-02 16:06:26"
KLAC,2013-01-24,16:15:00,16:08:54,0.024390,"2013-01-31 16:08:54"
KLAC,2013-04-25,16:15:00,16:07:44,0.011600,"2013-05-02 16:07:44"
KLAC,2013-07-25,16:15:00,16:13:28,0.008176,"2013-08-01 16:13:28"
LLTC,2012-07-24,16:59:00,16:48:55,0.015591,"2012-07-31 16:48:55"
LLTC,2013-04-16,16:59:00,16:56:16,0.015319,"2013-04-23 16:56:16"
LRCX,2012-07-25,16:30:00,16:24:09,0.011864,"2012-08-01 16:24:09"
LRCX,2012-10-17,16:15:00,16:04:30,0.109859,"2012-10-24 16:04:30"
LRCX,2013-01-23,16:04:00,15:59:23,0.004437,"2013-01-30 15:59:23"
LRCX,2013-04-24,16:04:00,16:01:10,0.005063,"2013-05-01 16:01:10"
MCHP,2013-05-02,16:15:00,16:14:41,0.014173,"2013-05-09 16:14:41"
MRVL,2012-05-17,16:04:00,16:03:15,0.017429,"2012-05-24 16:03:15"
MRVL,2012-08-16,16:04:00,15:56:34,0.067213,"2012-08-23 15:56:34"
MRVL,2013-02-21,16:03:00,15:53:14,0.070201,"2013-02-28 15:53:14"
MRVL,2013-08-22,16:03:00,15:55:11,0.021284,"2013-08-29 15:55:11"
MXIM,2012-07-26,16:00:00,15:55:48,0.019118,"2012-08-02 15:55:48"
MXIM,2013-01-24,16:00:00,15:58:24,0.013194,"2013-01-31 15:58:24"
MXIM,2013-04-25,16:00:00,15:57:16,0.012097,"2013-05-02 15:57:16"
MXIM,2013-07-25,16:00:00,15:52:31,0.003106,"2013-08-01 15:52:31"
NFLX,2012-07-24,16:04:00,15:56:09,27.619577,"2012-07-31 15:56:09"
NFLX,2013-01-23,16:04:00,15:59:27,40.989078,"2013-01-30 15:59:27"
NFLX,2013-04-22,16:06:00,16:02:20,38.378873,"2013-04-29 16:02:20"
NFLX,2013-07-22,16:00:00,15:59:54,54.652484,"2013-07-29 15:59:54"
NFLX,2013-07-22,16:00:00,15:59:55,54.652484,"2013-07-29 15:59:55"
NIHD,2013-05-02,06:29:00,06:27:45,0.040221,"2013-05-09 06:27:45"
